"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","1769","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:18:08 MSK 2025","passed","Sun Jun 01 13:18:10 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","376","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:18:32 MSK 2025","passed","Sun Jun 01 13:18:33 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","470","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:18:27 MSK 2025","passed","Sun Jun 01 13:18:27 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","4043","Проверка позитивного сценария оформления заказа","tests","Sun Jun 01 13:18:45 MSK 2025","passed","Sun Jun 01 13:18:49 MSK 2025","TestOrderPageOrder","test_ordrer_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","565","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:17:51 MSK 2025","passed","Sun Jun 01 13:17:51 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","406","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:18:15 MSK 2025","passed","Sun Jun 01 13:18:15 MSK 2025","TestMainPageFaq","test_main_page","",""
"","8866","Проверка перехода на страницу ""Дзена"" при клике на лого ""Яндекс""","tests","Sun Jun 01 13:17:37 MSK 2025","passed","Sun Jun 01 13:17:46 MSK 2025","TestLogo","test_logo_click","",""
"","433","Проверка перехода на главную страницу сервиса при клике на лого ""Самокат"" в шапке","tests","Sun Jun 01 13:17:31 MSK 2025","passed","Sun Jun 01 13:17:32 MSK 2025","TestLogo","test_logo_click","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","460","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:18:03 MSK 2025","passed","Sun Jun 01 13:18:03 MSK 2025","TestMainPageFaq","test_main_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","298","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:18:22 MSK 2025","passed","Sun Jun 01 13:18:22 MSK 2025","TestMainPageFaq","test_main_page","",""
"Сквозное тестирование функциональности оформления заказа из двух точек входа","2983","Проверка позитивного сценария оформления заказа","tests","Sun Jun 01 13:18:38 MSK 2025","passed","Sun Jun 01 13:18:41 MSK 2025","TestOrderPageOrder","test_ordrer_page","",""
"Проверка появления нужного текста при нажатии на каждую иконку развертывания в разделе","1073","Проверка раздела ""Вопросы о важном""","tests","Sun Jun 01 13:17:56 MSK 2025","passed","Sun Jun 01 13:17:57 MSK 2025","TestMainPageFaq","test_main_page","",""
